trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
21,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,secondary_first_img1,KITCHEN,1.1708,1777604635.420073986,1777604636.045914888,1777604637.051819086,1777604638.061265945,1777604640.070786953,1777604641.080734015,1777604642.093617916,1777604644.122106075,1777604645.303408861
22,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,SPORTSFIELD,0.9619,1777604645.811982155,1777604646.435493946,1777604647.440344095,1777604648.451596975,1777604650.460340977,1777604651.489401102,1777604652.496035099,1777604654.545743942,1777604655.525058985
23,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,BATHROOM,1.3930,1777604656.032258987,1777604656.660428047,1777604657.665791035,1777604658.675575972,1777604660.685112000,1777604661.700801134,1777604662.751049995,1777604664.780143023,1777604666.188869238
24,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,1.1343,1777604666.697829962,1777604667.336908102,1777604668.343273878,1777604669.353822947,1777604671.364673138,1777604672.380807877,1777604673.390156031,1777604675.423717976,1777604676.566508055
25,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,BATHROOM,1.0711,1777604677.073837996,1777604677.700802088,1777604678.705450058,1777604679.715332031,1777604681.725555897,1777604682.740818024,1777604683.750231028,1777604685.779344797,1777604686.863504887
26,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,secondary_first_img0,KITCHEN,1.0539,1777604687.370934010,1777604688.026525974,1777604689.034744024,1777604690.042012930,1777604692.054201126,1777604693.065761089,1777604694.072799921,1777604696.100643158,1777604697.163141966
27,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,primary_first_img0,GARDEN,1.3647,1777604697.670388937,1777604698.286550999,1777604699.292119026,1777604700.301908016,1777604702.311197042,1777604703.338734150,1777604704.351768017,1777604706.389937878,1777604707.764133930
28,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,primary_first_img0,GARDEN,1.3445,1777604708.273800850,1777604709.010591030,1777604710.020763874,1777604711.029605150,1777604713.039625883,1777604714.054367065,1777604715.078272104,1777604717.119727135,1777604718.477327108
29,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,secondary_first_img0,KITCHEN,0.7048,1777604718.983455896,1777604719.630202770,1777604720.635061979,1777604721.644778013,1777604723.657627821,1777604724.672213078,1777604725.681146145,1777604727.707813025,1777604728.423183203
30,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,GARDEN,1.0991,1777604728.930075884,1777604729.571469069,1777604730.577620983,1777604731.585221052,1777604733.595411062,1777604734.613936901,1777604735.623162985,1777604737.658550024,1777604738.765961885
31,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,PETSHOP,1.1034,1777604739.274156094,1777604739.959152222,1777604740.964332104,1777604741.973082781,1777604743.981392860,1777604744.997209072,1777604746.004936934,1777604748.031428099,1777604749.144783974
