timestamp,trigger_code,event_label,trial_info
1774375878.695887804,phase2_context1_onset,phase2_context1_onset,trial=37 shape=Shape_0_2.png
1774375879.700354099,phase2_context1_offset,phase2_context1_offset,trial=37
1774375879.701107025,phase2_shape_onset,phase2_shape_onset,trial=37 shape=Shape_0_2.png
1774375880.711834192,phase2_shape_offset,phase2_shape_offset,trial=37
1774375880.712773085,phase2_blank1_onset,phase2_blank1_onset,trial=37
1774375881.721724987,phase2_blank1_offset,phase2_blank1_offset,trial=37
1774375881.722454071,phase2_reddot_onset,phase2_reddot_onset,trial=37 shape=Shape_0_2.png
1774375884.742522955,phase2_reddot_offset,phase2_reddot_offset,trial=37
1774375884.743173122,phase2_context2_onset,phase2_context2_onset,trial=37 shape=Shape_0_2.png
1774375885.757140875,phase2_context2_offset,phase2_context2_offset,trial=37
1774375885.757541180,phase2_shape2_onset,phase2_shape2_onset,trial=37
1774375886.771731853,phase2_shape2_offset,phase2_shape2_offset,trial=37
1774375886.772486925,phase2_blank2_onset,phase2_blank2_onset,trial=37
1774375887.778967142,phase2_blank2_offset,phase2_blank2_offset,trial=37
1774375887.779940128,phase2_reddot2_onset,phase2_reddot2_onset,trial=37 shape=Shape_0_2.png
1774375890.787935019,phase2_reddot2_offset,phase2_reddot2_offset,trial=37
1774375890.807519913,phase2_question_onset,phase2_question_onset,trial=37 cat_a=BOOKSTORE cat_b=POND variant=context_swapped
1774375891.285289049,phase2_response,phase2_response,trial=37 response=POND
1774375891.285429955,phase2_question_offset,phase2_question_offset,trial=37
1774375891.285630941,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=37
1774375891.788549185,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=37
1774375891.789379120,phase2_fixation_onset,phase2_fixation_onset,trial=38
1774375892.300199986,phase2_fixation_offset,phase2_fixation_offset,trial=38
1774375892.398415804,phase2_context1_onset,phase2_context1_onset,trial=38 shape=Shape_2_1.png
1774375893.403306961,phase2_context1_offset,phase2_context1_offset,trial=38
1774375893.404340029,phase2_shape_onset,phase2_shape_onset,trial=38 shape=Shape_2_1.png
1774375894.422763109,phase2_shape_offset,phase2_shape_offset,trial=38
1774375894.423767090,phase2_blank1_onset,phase2_blank1_onset,trial=38
1774375895.438240051,phase2_blank1_offset,phase2_blank1_offset,trial=38
1774375895.439104080,phase2_reddot_onset,phase2_reddot_onset,trial=38 shape=Shape_2_1.png
1774375898.454272985,phase2_reddot_offset,phase2_reddot_offset,trial=38
1774375898.455771923,phase2_context2_onset,phase2_context2_onset,trial=38 shape=Shape_2_1.png
1774375899.471682072,phase2_context2_offset,phase2_context2_offset,trial=38
1774375899.472581863,phase2_shape2_onset,phase2_shape2_onset,trial=38
1774375900.490458012,phase2_shape2_offset,phase2_shape2_offset,trial=38
1774375900.491126060,phase2_blank2_onset,phase2_blank2_onset,trial=38
1774375901.505050898,phase2_blank2_offset,phase2_blank2_offset,trial=38
1774375901.505968094,phase2_reddot2_onset,phase2_reddot2_onset,trial=38 shape=Shape_2_1.png
1774375904.519667864,phase2_reddot2_offset,phase2_reddot2_offset,trial=38
1774375904.539273977,phase2_question_onset,phase2_question_onset,trial=38 cat_a=SKY cat_b=BEDROOM variant=original
1774375905.956807852,phase2_response,phase2_response,trial=38 response=BEDROOM
1774375905.956923962,phase2_question_offset,phase2_question_offset,trial=38
1774375905.957242012,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=38
1774375906.466960907,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=38
1774375906.467437983,phase2_fixation_onset,phase2_fixation_onset,trial=39
1774375906.975476980,phase2_fixation_offset,phase2_fixation_offset,trial=39
1774375907.081768990,phase2_context1_onset,phase2_context1_onset,trial=39 shape=Shape_2_2.png
1774375908.087762833,phase2_context1_offset,phase2_context1_offset,trial=39
1774375908.088165998,phase2_shape_onset,phase2_shape_onset,trial=39 shape=Shape_2_2.png
1774375909.111834049,phase2_shape_offset,phase2_shape_offset,trial=39
1774375909.112360001,phase2_blank1_onset,phase2_blank1_onset,trial=39
1774375910.119058847,phase2_blank1_offset,phase2_blank1_offset,trial=39
1774375910.119735003,phase2_reddot_onset,phase2_reddot_onset,trial=39 shape=Shape_2_2.png
1774375913.127039909,phase2_reddot_offset,phase2_reddot_offset,trial=39
1774375913.129287958,phase2_context2_onset,phase2_context2_onset,trial=39 shape=Shape_2_2.png
1774375914.187246084,phase2_context2_offset,phase2_context2_offset,trial=39
1774375914.187873125,phase2_shape2_onset,phase2_shape2_onset,trial=39
