shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,-0.746862,-0.043933,0.7191,,,1777484026.345348120,1777484026.345348120,1777484026.951967955
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,-0.281381,0.451883,1.0725,,,1777484029.158706903,1777484029.158706903,1777484029.486521006
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,-0.336820,-0.389121,0.7142,,,1777484031.359235048,1777484031.359235048,1777484031.989187002
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,-0.091004,0.172594,0.3116,,,1777484033.589770079,1777484033.589770079,1777484034.440469027
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,-0.093096,0.185146,0.4648,,,1777484036.576995134,1777484036.576995134,1777484037.004461050
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.094142,0.185146,1.1091,,,1777484039.510650158,1777484039.510650158,1777484039.760261774
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.036611,0.070084,1.2592,,,1777484042.385029078,1777484041.590622902;1777484042.385029078,1777484042.574207067
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.167364,0.002092,0.7407,,,1777484044.755851984,1777484044.755851984,1777484045.064634085
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,-0.149582,-0.077406,0.0048,,,1777484046.593045950,1777484046.593045950,1777484047.085540056
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,-0.142259,-0.042887,0.6847,,,1777484049.230858088,1777484049.230858088,1777484049.571045160
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,-0.148536,-0.042887,1.2492,,,1777484052.185226917,1777484052.185226917,1777484052.922000885
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.152720,-0.043933,2.8740,,,1777484057.179986954,1777484057.179986954,1777484057.429691792
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.278243,-0.009414,0.6361,,,1777484059.788037062,1777484059.788037062,1777484060.204002142
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,-0.240586,-0.107741,1.3206,,,1777484062.964277029,1777484062.964277029,1777484063.337656021
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,-0.188285,-0.034519,1.7709,,,1777484066.571614027,1777484066.571614027,1777484066.842580080
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,-0.179916,-0.138075,0.6297,,,1777484068.972344160,1777484068.972344160,1777484069.387879848
