shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,0.489540,0.351464,1.4928,,,1777605111.316540003,1777605111.316540003,1777605112.349892139
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.023013,0.337866,1.8801,,,1777605115.342835903,1777605115.342835903,1777605116.508832932
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,-0.643305,0.370293,1.9066,,,1777605119.548481941,1777605119.548481941,1777605120.493029833
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.650628,-0.016736,1.7059,,,1777605123.330291033,1777605123.330291033,1777605124.075585127
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,-0.254184,0.005230,2.1585,,,1777605127.462587833,1777605127.462587833,1777605128.147667885
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,0.356695,0.020921,2.5263,,,1777605131.847250938,1777605131.847250938,1777605132.557264805
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,0.599372,0.373431,1.8251,,,1777605135.564976931,1777605135.564976931,1777605136.443135023
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,0.115063,0.358787,3.0281,,,1777605140.787657022,1777605140.787657022,1777605141.676601171
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,0.487448,-0.017782,0.9798,,,1777605144.153413057,1777605144.153413057,1777605145.175467968
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,-0.084728,-0.267782,1.3848,,,1777605147.812541962,1777605147.812541962,1777605148.876405001
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,-0.141213,0.387029,1.5806,,,1777605151.830445051,1777605151.830445051,1777605152.846313000
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,0.546025,0.096234,3.6752,,,1777605157.882405996,1777605157.882405996,1777605158.950932026
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.137029,0.053347,2.8671,,,1777605163.437455177,1777605163.437455177,1777605164.148405075
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.583682,0.014644,2.5261,,,1777605168.066317081,1777605168.066317081,1777605168.836843967
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,0.597280,-0.047071,1.8733,,,1777605172.120023012,1777605172.120023012,1777605172.843909025
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,-0.017782,-0.259414,2.7044,,,1777605176.984947920,1777605176.984947920,1777605177.734431028
