trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,object_question_onset_ttl,context2_onset_ttl,shape2_onset_ttl,object_question2_onset_ttl,question_onset_ttl,response_ttl
46,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,2.5973,1777774741.878515005,1777774742.508293152,1777774743.513718128,1777774744.521550179,1777774746.529730082,1777774747.546432018,1777774748.555346966,1777774750.578190088,1777774753.194463015
47,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,2.6297,1777774753.699855089,1777774754.331266165,1777774755.337964058,1777774756.347434044,1777774758.362126112,1777774759.396606922,1777774760.405168056,1777774762.452502012,1777774765.106073141
48,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,secondary_first_img1,KITCHEN,0.9792,1777774765.799375057,1777774766.421365023,1777774767.426959753,1777774768.443746090,1777774770.457381964,1777774771.523360968,1777774772.533272982,1777774774.571471930,1777774775.575686932
49,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,SPORTSFIELD,8.7469,1777774784.498767138,1777774785.165288925,1777774786.170804977,1777774787.182743073,1777774789.218475103,1777774790.254281044,1777774791.270956993,1777774793.308997154,1777774802.089659929
50,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,secondary_first_img0,SPORTSFIELD,1.5193,1777774802.597074986,1777774803.357784033,1777774804.364696980,1777774805.381130934,1777774807.392517805,1777774808.425107956,1777774809.434328079,1777774811.476058960,1777774813.015313864
51,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,secondary_first_img0,BATHROOM,1.3990,1777774813.524416924,1777774814.284659863,1777774815.290621042,1777774816.302798986,1777774818.324357986,1777774819.354727030,1777774820.367313862,1777774822.413964987,1777774823.826725960
52,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,primary_first_img1,SPORTSFIELD,1.5567,1777774824.339984894,1777774824.968055010,1777774825.973340988,1777774826.984220982,1777774828.994473934,1777774830.017069101,1777774831.028792143,1777774833.055243969,1777774834.634613991
53,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,secondary_first_img0,SKY,1.7582,1777774835.140243053,1777774835.786277771,1777774836.791258812,1777774837.800728083,1777774839.812208176,1777774840.839946032,1777774841.848390818,1777774843.883404016,1777774845.664122105
54,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,primary_first_img0,SPORTSFIELD,0.9568,1777774846.169703960,1777774846.930377960,1777774847.936261892,1777774848.943472147,1777774850.954596043,1777774851.990603924,1777774853.004498005,1777774855.036000013,1777774856.020658016
55,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,1.1789,1777774856.529696941,1777774857.184694052,1777774858.190821886,1777774859.201664925,1777774861.215196848,1777774862.242351055,1777774863.252344131,1777774865.284218073,1777774866.484549999
56,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,secondary_first_img0,BATHROOM,0.6522,1777774866.998509169,1777774867.630918980,1777774868.635619164,1777774869.646313906,1777774871.655963898,1777774872.695752859,1777774873.707721949,1777774875.746074915,1777774876.418706894
57,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,secondary_first_img0,SPORTSFIELD,7.9622,1777774876.930458784,1777774877.579220057,1777774878.585916996,1777774879.596926928,1777774881.606921911,1777774882.664602995,1777774883.676021099,1777774885.762248993,1777774893.739143848
58,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,secondary_first_img1,GARDEN,0.5341,1777774894.248113871,1777774895.408648968,1777774896.422935009,1777774897.429533958,1777774899.441840887,1777774900.476012945,1777774901.485936165,1777774903.520144939,1777774904.084089994
59,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,secondary_first_img0,SPORTSFIELD,4.4542,1777774904.593153000,1777774905.377173901,1777774906.382256031,1777774907.391156912,1777774909.402489185,1777774910.436244965,1777774911.446405172,1777774913.493317127,1777774917.986959219
60,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,OFFICE,1.7249,1777774918.495017052,1777774919.134158134,1777774920.139644861,1777774921.149669170,1777774923.159260988,1777774924.196314096,1777774925.207741022,1777774927.238296986,1777774928.980623960
61,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,SPORTSFIELD,1.0635,1777774929.486672878,1777774930.109573841,1777774931.112699986,1777774932.121710062,1777774934.130631924,1777774935.152405977,1777774936.162888050,1777774938.192141056,1777774939.266427994
62,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,secondary_first_img1,GARDEN,0.8388,1777774939.772764921,1777774940.412095070,1777774941.417658806,1777774942.427210093,1777774944.436781168,1777774945.460253000,1777774946.470525980,1777774948.505494118,1777774949.361793041
63,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,primary_first_img0,SPORTSFIELD,1.1601,1777774949.870868921,1777774950.754837036,1777774951.763494968,1777774952.772903919,1777774954.785683870,1777774955.832569122,1777774956.842833996,1777774958.875699997,1777774960.056387186
64,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,5.7338,1777774960.561284065,1777774961.189951897,1777774962.195456982,1777774963.204807997,1777774965.220955849,1777774966.269095898,1777774967.277141094,1777774969.332902908,1777774975.100921154
