shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,0.747908,0.232218,0.6388,,,1777483147.040769100,1777483147.040769100,1777483147.825551987
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,0.241632,-0.058577,0.4849,,,1777483149.492715120,1777483149.492715120,1777483149.857489824
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.649582,0.429916,1.7454,,,1777483152.833676100,1777483152.833676100,1777483153.375315905
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,-0.622385,-0.444561,1.7404,,,1777483156.373019934,1777483155.290254116;1777483156.373019934,1777483157.184895039
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,-0.006276,0.280335,0.6573,,,1777483159.651585102,1777483159.651585102,1777483159.982836962
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.006276,0.280335,0.3894,,,1777483161.663226843,1777483161.663226843,1777483162.008549213
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,-0.006276,0.280335,1.0903,,,1777483164.478727818,1777483164.478727818,1777483164.863792181
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.006276,0.280335,0.7905,,,1777483167.075371027,1777483167.075371027,1777483167.542355061
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,0.360879,0.144351,1.2894,,,1777483170.378202200,1777483170.378202200,1777483170.716612101
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.212343,0.073222,0.4176,,,1777483172.623664856,1777483172.623664856,1777483172.923450947
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,0.521967,-0.117155,0.4104,,,1777483174.752300978,1777483174.752300978,1777483175.168951035
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,-0.216527,-0.149582,0.5841,,,1777483177.209594965,1777483177.209594965,1777483177.685375929
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.391213,0.006276,0.6147,,,1777483180.009116888,1777483180.009116888,1777483180.459109783
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,0.085774,-0.146444,0.3443,,,1777483182.259290218,1777483182.259290218,1777483182.933584929
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,0.277197,-0.209205,0.8267,,,1777483185.219593048,1777483185.219593048,1777483185.685482979
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,-0.540795,0.257322,0.7344,,,1777483187.922834873,1777483187.922834873,1777483188.302283049
