shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,0.660042,0.182008,1.2566,,,1777774139.666707993,1777774139.666707993,1777774140.773108006
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.061715,0.453975,0.4490,,,1777774142.407108068,1777774142.407108068,1777774142.707062960
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,-0.672594,-0.026151,0.6665,,,1777774144.604667902,1777774144.604667902,1777774144.964751959
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,-0.021967,-0.400628,0.6842,,,1777774146.897828102,1777774146.897828102,1777774147.533921957
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,0.342050,-0.164226,0.4951,,,1777774149.636005878,1777774149.636005878,1777774149.975268126
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,-0.350418,-0.229079,0.4518,,,1777774151.838006973,1777774151.838006973,1777774152.120137930
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.354603,0.274059,0.4146,,,1777774153.919869900,1777774153.919869900,1777774154.214277983
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,0.243724,0.335774,0.5226,,,1777774156.112825155,1777774156.112825155,1777774156.257174015
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,0.578452,-0.048117,0.6825,,,1777774158.489402771,1777774158.489402771,1777774158.683743000
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.491632,-0.094142,0.9034,,,1777774161.031431913,1777774161.031431913,1777774161.395565987
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,-0.213389,-0.302301,0.7210,,,1777774163.539347887,1777774163.539347887,1777774164.088195086
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,0.192469,-0.301255,0.6487,,,1777774166.147236109,1777774166.147236109,1777774166.702722073
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,-0.462343,0.152720,0.8939,,,1777774169.189151049,1777774169.189151049,1777774169.684118986
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,-0.207113,0.354603,0.7000,,,1777774171.830872059,1777774171.830872059,1777774172.147063971
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,0.433054,0.281381,0.8660,,,1777774174.440874100,1777774174.440874100,1777774174.754981041
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.002092,0.041841,0.9784,,,1777774177.336230993,1777774177.336230993,1777774177.634154081
