shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_2.png,0.260460,-0.119247,0.6687,,,1774376307.848504066,1774376307.848504066,1774376308.122164965
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_2.png,0.253138,0.131799,0.5620,,,1774376309.828854084,1774376309.828854084,1774376310.127285004
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_1.png,0.250000,0.132845,0.3678,,,1774376311.629930973,1774376311.629930973,1774376311.912794828
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_0.png,0.246862,0.133891,0.3938,,,1774376313.496963024,1774376313.496963024,1774376313.924334049
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_3.png,0.077406,0.165272,0.2842,,,1774376315.530691147,1774376315.530691147,1774376315.831551075
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_3.png,0.012552,0.162134,0.5814,,,1774376317.629881144,1774376317.629881144,1774376317.889149904
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_1.png,-0.058577,0.160042,0.3042,,,1774376319.395779133,1774376319.395779133,1774376319.672002077
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_3.png,-0.155858,0.167364,0.1112,,,1774376320.997545004,1774376320.997545004,1774376321.444902897
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_3_0.png,0.043933,0.078452,0.2130,,,1774376323.251036882,1774376323.251036882,1774376323.711744070
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_3.png,-0.209205,0.053347,0.0030,,,1774376325.093278885,1774376325.093278885,1774376325.568316936
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_0.png,-0.216527,0.052301,0.7098,,,1774376327.683372021,1774376327.683372021,1774376328.006206989
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_1.png,-0.170502,-0.141213,0.5662,,,1774376330.019239902,1774376330.019239902,1774376330.299196959
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_0.png,-0.237448,-0.091004,0.6125,,,1774376332.670221090,1774376332.670221090,1774376333.300997972
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_0_2.png,-0.288703,-0.051255,0.6538,,,1774376335.590223074,1774376335.590223074,1774376336.016157866
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_2_1.png,-0.061715,-0.180962,1.8995,,,1774376339.442097902,1774376339.442097902,1774376339.710343838
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/Shape_1_2.png,0.161088,-0.036611,0.5949,,,1774376341.959496021,1774376341.959496021,1774376342.399248838
