timestamp,trigger_code,event_label,trial_info
1777661700.552628994,participant_name_onset,participant_name_onset,
1777661707.271483898,participant_name_offset,participant_name_offset,
1777661707.278631926,experiment_start,experiment_start,participant=chickenfoot
1777661707.360001087,welcome_onset,welcome_onset,
1777661709.069796085,welcome_enter,welcome_enter,
1777661709.070359945,welcome_offset,welcome_offset,
1777661709.200222969,tutorial_fallback_onset,tutorial_fallback_onset,step=1
1777661713.288425922,tutorial_fallback_offset,tutorial_fallback_offset,step=1
1777661713.290078878,tutorial_fallback_onset,tutorial_fallback_onset,step=2
1777661713.356534004,tutorial_fallback_step2_center_onset,tutorial_fallback_step2_center_onset,
1777661715.899639130,tutorial_fallback_step2_center_offset,tutorial_fallback_step2_center_offset,
1777661715.900986195,tutorial_fallback_step2_target_onset,tutorial_fallback_step2_target_onset,
1777661719.669051886,tutorial_fallback_step2_target_offset,tutorial_fallback_step2_target_offset,
1777661719.678755999,tutorial_fallback_offset,tutorial_fallback_offset,step=2
1777661719.679031134,tutorial_fallback_onset,tutorial_fallback_onset,step=3
1777661719.791496038,tutorial_fallback_step3_preflash_onset,tutorial_fallback_step3_preflash_onset,
1777661720.383032084,tutorial_fallback_step3_preflash_offset,tutorial_fallback_step3_preflash_offset,
1777661720.383274078,tutorial_fallback_step3_center_onset,tutorial_fallback_step3_center_onset,
1777661722.892133951,tutorial_fallback_step3_center_offset,tutorial_fallback_step3_center_offset,
1777661722.893151045,tutorial_fallback_step3_target_onset,tutorial_fallback_step3_target_onset,
1777661726.666007996,tutorial_fallback_step3_target_offset,tutorial_fallback_step3_target_offset,
1777661726.673442125,tutorial_fallback_offset,tutorial_fallback_offset,step=3
1777661726.673547983,tutorial_fallback_onset,tutorial_fallback_onset,step=4
1777661726.737509966,tutorial_fallback_step4_preflash_onset,tutorial_fallback_step4_preflash_onset,
1777661727.360476971,tutorial_fallback_step4_preflash_offset,tutorial_fallback_step4_preflash_offset,
1777661727.360666037,tutorial_fallback_step4_center_onset,tutorial_fallback_step4_center_onset,
1777661729.867249966,tutorial_fallback_step4_center_offset,tutorial_fallback_step4_center_offset,
1777661729.873287916,tutorial_fallback_step4_target_onset,tutorial_fallback_step4_target_onset,
1777661733.635166883,tutorial_fallback_step4_target_offset,tutorial_fallback_step4_target_offset,
1777661733.643331051,tutorial_fallback_offset,tutorial_fallback_offset,step=4
1777661733.643491983,tutorial_fallback_onset,tutorial_fallback_onset,step=5a
1777661738.319171190,tutorial_fallback_offset,tutorial_fallback_offset,step=5a
1777661738.320803165,tutorial_fallback_onset,tutorial_fallback_onset,step=5b
1777661743.937831879,tutorial_fallback_offset,tutorial_fallback_offset,step=5b
1777661743.939290762,tutorial_fallback_onset,tutorial_fallback_onset,step=6
1777661752.558566809,tutorial_fallback_offset,tutorial_fallback_offset,step=6
1777661752.670092106,tutorial_transition_onset,tutorial_transition_onset,
1777661755.187795877,tutorial_transition_enter,tutorial_transition_enter,
1777661755.188670874,tutorial_transition_offset,tutorial_transition_offset,
1777661755.259014845,phase1_questions_onset,phase1_questions_onset,
1777661757.714810848,phase1_questions_enter,phase1_questions_enter,
1777661757.715898991,phase1_questions_offset,phase1_questions_offset,
1777661757.813973904,phase1_before_grid_onset,phase1_before_grid_onset,
1777661761.925488234,phase1_before_grid_enter,phase1_before_grid_enter,
1777661761.926150799,phase1_before_grid_offset,phase1_before_grid_offset,
1777661762.390634060,phase1_grid_onset,phase1_grid_onset,
1777661767.431023121,phase1_grid_offset,phase1_grid_offset,
1777661767.522022963,phase1_fixation_onset,phase1_fixation_onset,
1777661768.578943968,phase1_fixation_offset,phase1_fixation_offset,
1777661768.679261923,phase1_instr1_onset,phase1_instr1_onset,
1777661770.337586880,phase1_instr1_enter,phase1_instr1_enter,
1777661770.338405848,phase1_instr1_offset,phase1_instr1_offset,
1777661770.395603895,phase1_instr2_onset,phase1_instr2_onset,
1777661772.202173948,phase1_instr2_enter,phase1_instr2_enter,
1777661772.202723026,phase1_instr2_offset,phase1_instr2_offset,
1777661772.318953037,phase1_instr3_onset,phase1_instr3_onset,
1777661773.292895079,phase1_instr3_enter,phase1_instr3_enter,
1777661773.293184996,phase1_instr3_offset,phase1_instr3_offset,
1777661773.431742907,phase1_stimulus_onset,phase1_stimulus_onset,trial=1 shape=rugby.bmp
1777661774.437321901,phase1_stimulus_offset,phase1_stimulus_offset,trial=1 shape=rugby.bmp
1777661775.932064056,phase1_click_place,phase1_click_place,trial=1 shape=rugby.bmp click=1
1777661777.572715044,phase1_enter_submit,phase1_enter_submit,trial=1 shape=rugby.bmp
1777661777.754194975,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=1
1777661777.777754068,phase1_stimulus_onset,phase1_stimulus_onset,trial=2 shape=pan.bmp
1777661778.796679974,phase1_stimulus_offset,phase1_stimulus_offset,trial=2 shape=pan.bmp
1777661779.239006996,phase1_click_place,phase1_click_place,trial=2 shape=pan.bmp click=1
1777661779.529469967,phase1_enter_submit,phase1_enter_submit,trial=2 shape=pan.bmp
1777661779.743460178,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=2
1777661779.767928123,phase1_stimulus_onset,phase1_stimulus_onset,trial=3 shape=nail_cutters.bmp
1777661780.773581028,phase1_stimulus_offset,phase1_stimulus_offset,trial=3 shape=nail_cutters.bmp
1777661781.266797066,phase1_click_place,phase1_click_place,trial=3 shape=nail_cutters.bmp click=1
1777661781.554841042,phase1_enter_submit,phase1_enter_submit,trial=3 shape=nail_cutters.bmp
1777661781.830013990,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=3
1777661781.848692894,phase1_stimulus_onset,phase1_stimulus_onset,trial=4 shape=toiletpaper.bmp
1777661782.856580019,phase1_stimulus_offset,phase1_stimulus_offset,trial=4 shape=toiletpaper.bmp
1777661783.213644981,phase1_click_place,phase1_click_place,trial=4 shape=toiletpaper.bmp click=1
1777661783.545104980,phase1_enter_submit,phase1_enter_submit,trial=4 shape=toiletpaper.bmp
1777661784.431973219,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=4
1777661784.448235035,phase1_stimulus_onset,phase1_stimulus_onset,trial=5 shape=teacup.bmp
1777661785.473165035,phase1_stimulus_offset,phase1_stimulus_offset,trial=5 shape=teacup.bmp
1777661785.906114101,phase1_click_place,phase1_click_place,trial=5 shape=teacup.bmp click=1
1777661786.200782061,phase1_enter_submit,phase1_enter_submit,trial=5 shape=teacup.bmp
1777661786.450418949,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=5
1777661786.474730968,phase1_stimulus_onset,phase1_stimulus_onset,trial=6 shape=bird'sfoot.bmp
1777661787.492007971,phase1_stimulus_offset,phase1_stimulus_offset,trial=6 shape=bird'sfoot.bmp
1777661787.970685005,phase1_click_place,phase1_click_place,trial=6 shape=bird'sfoot.bmp click=1
1777661788.257787943,phase1_enter_submit,phase1_enter_submit,trial=6 shape=bird'sfoot.bmp
1777661788.538357973,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=6
1777661788.554791927,phase1_stimulus_onset,phase1_stimulus_onset,trial=7 shape=mosquito.bmp
1777661789.561274767,phase1_stimulus_offset,phase1_stimulus_offset,trial=7 shape=mosquito.bmp
1777661789.969110012,phase1_click_place,phase1_click_place,trial=7 shape=mosquito.bmp click=1
1777661790.275685787,phase1_enter_submit,phase1_enter_submit,trial=7 shape=mosquito.bmp
1777661790.607600927,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=7
1777661790.623425961,phase1_stimulus_onset,phase1_stimulus_onset,trial=8 shape=toothbrush.bmp
1777661791.629873991,phase1_stimulus_offset,phase1_stimulus_offset,trial=8 shape=toothbrush.bmp
1777661792.304438114,phase1_click_place,phase1_click_place,trial=8 shape=toothbrush.bmp click=1
1777661792.563380957,phase1_enter_submit,phase1_enter_submit,trial=8 shape=toothbrush.bmp
1777661793.100239038,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=8
1777661793.113090038,phase1_stimulus_onset,phase1_stimulus_onset,trial=9 shape=tunnelentrance.bmp
1777661794.129495144,phase1_stimulus_offset,phase1_stimulus_offset,trial=9 shape=tunnelentrance.bmp
1777661794.666110039,phase1_click_place,phase1_click_place,trial=9 shape=tunnelentrance.bmp click=1
1777661795.097933054,phase1_enter_submit,phase1_enter_submit,trial=9 shape=tunnelentrance.bmp
1777661795.408128023,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=9
1777661795.423413992,phase1_stimulus_onset,phase1_stimulus_onset,trial=10 shape=umbrella.bmp
1777661796.429265976,phase1_stimulus_offset,phase1_stimulus_offset,trial=10 shape=umbrella.bmp
1777661797.086447001,phase1_click_place,phase1_click_place,trial=10 shape=umbrella.bmp click=1
1777661797.288841009,phase1_enter_submit,phase1_enter_submit,trial=10 shape=umbrella.bmp
1777661797.649552822,phase1_placements_saved,phase1_placements_saved,phase1_placements_chickenfoot_20260501_145500.png trial=10
1777661797.674314022,phase1_stimulus_onset,phase1_stimulus_onset,trial=11 shape=birdcage.bmp
1777661798.684329033,phase1_stimulus_offset,phase1_stimulus_offset,trial=11 shape=birdcage.bmp
