shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,-0.288703,0.398536,1.8995,,,1777774997.986321926,1777774997.986321926,1777774998.399361134
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,-0.626569,-0.077406,0.4628,,,1777775000.006030083,1777775000.006030083,1777775000.371405125
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,-0.374477,-0.457113,0.0021,,,1777775001.631846905,1777775001.631846905,1777775002.013133049
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,0.400628,-0.406904,0.4973,,,1777775003.888792992,1777775003.888792992,1777775004.157466173
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,0.637029,0.118201,0.4384,,,1777775006.166579008,1777775006.166579008,1777775006.455042124
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,0.337866,0.344142,0.3516,,,1777775008.115383148,1777775008.115383148,1777775008.340296984
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,-0.483264,0.195607,0.9277,,,1777775010.594854832,1777775010.594854832,1777775010.722568989
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.525105,-0.291841,0.5066,,,1777775012.624050856,1777775012.624050856,1777775012.917366028
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,-0.050209,-0.465481,0.3447,,,1777775015.000753880,1777775015.000753880,1777775015.298703194
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,0.534519,-0.116109,0.3555,,,1777775017.185323000,1777775017.185323000,1777775017.490598917
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.018828,0.359833,0.4209,,,1777775019.395279169,1777775019.395279169,1777775019.631354094
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,0.475941,0.216527,0.4953,,,1777775021.651190042,1777775021.651190042,1777775021.789875031
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,-0.597280,-0.199791,0.6079,,,1777775024.116706133,1777775024.116706133,1777775024.327295065
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.030335,0.011506,0.7771,,,1777775026.627886057,1777775026.627886057,1777775026.840239048
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,0.126569,-0.438285,0.6360,,,1777775029.020026922,1777775029.020026922,1777775029.390213013
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,-0.241632,-0.481172,0.5020,,,1777775031.479920149,1777775031.479920149,1777775031.872220993
