shape_path,final_x,final_y,rt,stimulus_onset_ttl,stimulus_offset_ttl,click_ttl,all_click_ttl,submit_ttl
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,-0.619247,0.341004,0.8149,,,1777662577.030256987,1777662577.030256987,1777662577.460744858
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,-0.300209,0.433054,0.3108,,,1777662578.995500088,1777662578.995500088,1777662579.296507835
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,-0.193515,-0.035565,0.0029,,,1777662580.471910000,1777662580.471910000,1777662580.844563961
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,-0.014644,0.010460,0.4027,,,1777662582.582473040,1777662582.582473040,1777662582.876883984
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,-0.020921,-0.134937,0.2943,,,1777662584.632172108,1777662584.632172108,1777662584.978101969
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,0.344142,0.332636,0.3565,,,1777662586.694653988,1777662586.694653988,1777662586.944149971
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,0.575314,0.060669,0.2179,,,1777662588.565127850,1777662588.565127850,1777662588.832069874
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,0.657950,-0.275105,0.1709,,,1777662590.364751816,1777662590.364751816,1777662590.681860209
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,-0.389121,-0.328452,0.0059,,,1777662592.217145205,1777662592.217145205,1777662592.599731922
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,-0.670502,-0.128661,0.1318,,,1777662594.182301998,1777662594.182301998,1777662594.643084049
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,-0.052301,-0.346234,0.9040,,,1777662597.028925896,1777662597.028925896,1777662597.316848993
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,0.213389,0.194561,0.8428,,,1777662599.690288782,1777662599.690288782,1777662599.968165159
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,-0.667364,-0.211297,0.7630,,,1777662602.383173227,1777662602.383173227,1777662603.178171873
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,-0.648536,-0.005230,0.3525,,,1777662605.016178846,1777662605.016178846,1777662605.260554075
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,-0.549163,-0.134937,0.2924,,,1777662607.037295103,1777662607.037295103,1777662607.336923838
/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,-0.537657,-0.293933,0.5903,,,1777662609.453675032,1777662609.453675032,1777662609.707632065
