trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,object_question_onset_ttl,context2_onset_ttl,shape2_onset_ttl,object_question2_onset_ttl,question_onset_ttl,response_ttl
1,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,1.2600,1777661866.224761009,1777661867.381438017,1777661868.388785839,1777661869.400134802,1777661871.465821981,1777661872.529494047,1777661873.557953119,1777661875.638704062,1777661876.928251982
2,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,primary_first_img0,GARDEN,2.0743,1777661877.434895039,1777661878.610445976,1777661879.640060902,1777661880.668478012,1777661882.680182934,1777661883.765404940,1777661884.828918934,1777661886.918215990,1777661889.051376104
3,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.6010,1777661889.564973116,1777661890.452111006,1777661891.462149858,1777661892.588020086,1777661894.607352972,1777661895.655879974,1777661896.664242029,1777661898.722245932,1777661899.350792885
4,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,BATHROOM,0.4131,1777661899.870170116,1777661900.791482210,1777661901.798254013,1777661902.834975958,1777661904.847122908,1777661905.871876001,1777661906.880162001,1777661908.920810938,1777661909.380736113
5,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,secondary_first_img1,PETSHOP,0.5306,1777661909.888228178,1777661910.761273146,1777661911.779642105,1777661912.799329996,1777661914.841825962,1777661915.909687996,1777661916.922143936,1777661919.007849932,1777661919.613072872
6,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,secondary_first_img1,OFFICE,0.4369,1777661920.123365879,1777661920.856057167,1777661921.863282919,1777661922.919613838,1777661924.929895878,1777661925.976716995,1777661926.989241123,1777661929.058891058,1777661929.520673037
7,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,SKY,1.2016,1777661930.026893139,1777661930.758683920,1777661931.765126944,1777661932.781717062,1777661934.788972139,1777661935.820680857,1777661936.833457947,1777661938.897660971,1777661940.109715939
8,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,secondary_first_img1,SPORTSFIELD,0.7716,1777661940.617522955,1777661941.387238979,1777661942.391877890,1777661943.399194956,1777661945.412784815,1777661946.449499846,1777661947.457171917,1777661949.495998859,1777661950.300197840
9,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,0.5873,1777661950.807075024,1777661951.468600988,1777661952.472240210,1777661953.483711004,1777661955.495167971,1777661956.519100904,1777661957.528501987,1777661959.555288076,1777661960.161926985
10,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.5941,1777661960.667023897,1777661961.323045015,1777661962.329903126,1777661963.343450069,1777661965.353815079,1777661966.378921986,1777661967.389808178,1777661969.423969984,1777661970.039158106
