trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,object_question_onset_ttl,context2_onset_ttl,shape2_onset_ttl,object_question2_onset_ttl,question_onset_ttl,response_ttl
11,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,primary_first_img1,SKY,0.2650,1777661970.546432972,1777661971.155045986,1777661972.160689831,1777661973.167219877,1777661975.174154043,1777661976.204533100,1777661977.221794128,1777661979.266235828,1777661979.551882982
12,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,primary_first_img0,KITCHEN,0.4867,1777661980.060159922,1777661980.944270134,1777661981.952919960,1777661982.963225126,1777661984.972233057,1777661986.010342836,1777661987.032993078,1777661989.063723087,1777661989.560005903
13,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,0.6106,1777661990.066885233,1777661990.930329084,1777661991.936688185,1777661992.946372032,1777661994.953911066,1777661995.997192860,1777661997.018930912,1777661999.048649073,1777661999.683312178
14,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,secondary_first_img0,PETSHOP,0.3498,1777662000.188919067,1777662001.020909071,1777662002.027728796,1777662003.044570923,1777662005.050861120,1777662006.064890862,1777662007.072323084,1777662009.104043007,1777662009.474264145
15,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,OFFICE,0.6849,1777662009.986249924,1777662010.615942955,1777662011.622077942,1777662012.643348932,1777662014.658435106,1777662015.693261147,1777662016.708628893,1777662018.747888088,1777662019.447161198
16,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,secondary_first_img0,SPORTSFIELD,1.7772,1777662019.954837084,1777662020.624521971,1777662021.634665966,1777662022.645277977,1777662024.657866955,1777662025.697755814,1777662026.709579945,1777662028.753807783,1777662030.557086945
17,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain.png,primary_first_img0,MOUNTAIN,1.7864,1777662034.448430061,1777662035.239429951,1777662036.245095015,1777662037.253043890,1777662039.263956070,1777662040.292815924,1777662041.304453135,1777662043.346081972,1777662045.153450012
18,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,secondary_first_img0,SPORTSFIELD,1.2947,1777662045.657703876,1777662046.401442051,1777662047.409868002,1777662048.439656973,1777662050.456560135,1777662051.533679008,1777662052.556776047,1777662054.606220961,1777662055.941552162
19,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,secondary_first_img0,KITCHEN,0.5300,1777662056.457182884,1777662057.488140106,1777662058.512831926,1777662059.539483786,1777662061.550945997,1777662062.576869011,1777662063.587518930,1777662065.632549047,1777662066.201739073
20,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,primary_first_img0,SPORTSFIELD,0.5326,1777662066.709576845,1777662067.349640846,1777662068.355488062,1777662069.361577034,1777662071.373409986,1777662072.398813009,1777662073.406982899,1777662075.435356855,1777662075.992990017
21,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky1.png,secondary_first_img1,SKY,0.7831,1777662076.500197887,1777662077.189579964,1777662078.194846869,1777662079.204986811,1777662081.217380047,1777662082.259190083,1777662083.286735773,1777662085.331625938,1777662086.127678871
22,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,5.3153,1777662086.635687828,1777662087.280773878,1777662088.286717892,1777662089.293272972,1777662091.312335014,1777662092.346531153,1777662093.387225151,1777662095.426548958,1777662100.761544943
23,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,OFFICE,0.5679,1777662101.267084122,1777662102.072463989,1777662103.077600002,1777662104.085434914,1777662106.097617865,1777662107.144387007,1777662108.169132948,1777662110.197960854,1777662110.786245823
24,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,primary_first_img1,KITCHEN,1.4788,1777662111.292124987,1777662111.912069798,1777662112.916976929,1777662113.925253868,1777662115.966040134,1777662117.014246941,1777662118.037775755,1777662120.117614031,1777662121.637626886
25,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,BATHROOM,1.5373,1777662122.153097868,1777662123.273025036,1777662124.292910099,1777662125.310446024,1777662127.324249029,1777662128.357919931,1777662129.371783972,1777662131.458384991,1777662133.009381771
26,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,secondary_first_img0,KITCHEN,2.2025,1777662133.519274950,1777662134.198399067,1777662135.205153942,1777662136.215193033,1777662138.227643967,1777662139.255994797,1777662140.266026020,1777662142.313385010,1777662144.537147999
27,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,primary_first_img0,GARDEN,3.5305,1777662145.044381857,1777662145.688347816,1777662146.695188046,1777662147.704686165,1777662149.714678049,1777662150.764058828,1777662151.785648108,1777662153.835482121,1777662157.385107040
28,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,primary_first_img0,SKY,1.5782,1777662157.895783901,1777662158.661942959,1777662159.669008970,1777662160.678333044,1777662162.688718081,1777662163.733428001,1777662164.767529011,1777662166.803328037,1777662168.405891180
29,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,secondary_first_img0,KITCHEN,0.2973,1777662168.916405916,1777662169.596828938,1777662170.604059935,1777662171.625292063,1777662173.678704023,1777662174.739274025,1777662175.764415026,1777662177.864805937,1777662178.190661192
30,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,primary_first_img0,OFFICE,0.4246,1777662178.704349041,1777662179.352040052,1777662180.357005119,1777662181.365423203,1777662183.372330904,1777662184.392078161,1777662185.398901939,1777662187.427479982,1777662187.861243963
31,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,SPORTSFIELD,0.5599,1777662188.370271921,1777662189.655027866,1777662190.665066004,1777662191.673106909,1777662193.685143948,1777662194.704246998,1777662195.712087154,1777662197.748922825,1777662198.320387125
32,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,SPORTSFIELD,1.5878,1777662198.826612949,1777662199.568033934,1777662200.573120117,1777662201.582644939,1777662203.592448950,1777662204.616892815,1777662205.626025915,1777662207.660094976,1777662209.257065058
33,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.7343,1777662215.192915916,1777662215.926429987,1777662216.932353020,1777662217.941157103,1777662219.974991798,1777662221.031147003,1777662222.041754961,1777662224.083854198,1777662224.836127043
34,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,4.0503,1777662225.345202923,1777662225.984965801,1777662226.989012003,1777662228.018221140,1777662230.024208784,1777662231.071513176,1777662232.083130836,1777662234.127844095,1777662238.208432913
35,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,secondary_first_img0,BATHROOM,4.4979,1777662238.713981867,1777662239.360627890,1777662240.364879847,1777662241.375406027,1777662243.392235041,1777662244.422065973,1777662245.450451851,1777662247.496140003,1777662252.034765005
36,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.6719,1777662252.540809870,1777662253.177123070,1777662254.182006121,1777662255.190809011,1777662257.216140985,1777662258.237168074,1777662259.244725943,1777662261.276664972,1777662261.969777822
37,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,primary_first_img1,GARDEN,3.1926,1777662262.474781990,1777662263.422716856,1777662264.429422140,1777662265.446960211,1777662267.471336842,1777662268.517809868,1777662269.530932903,1777662271.575236082,1777662274.783801079
38,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.4736,1777662275.289831877,1777662275.921772003,1777662276.926622868,1777662277.940270185,1777662279.950659037,1777662280.995609045,1777662282.017818928,1777662284.056541920,1777662284.541781902
39,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.6358,1777662285.048691034,1777662285.679396152,1777662286.689095020,1777662287.703887939,1777662289.776517868,1777662290.814496040,1777662291.830888033,1777662293.866097927,1777662294.527557850
40,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain1.png,primary_first_img1,MOUNTAIN,0.6881,1777662295.039363146,1777662295.807385206,1777662296.812968016,1777662297.824755907,1777662299.841374874,1777662300.882653952,1777662301.909256935,1777662303.973762035,1777662304.675608158
41,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,0.9448,1777662305.183070898,1777662305.821867943,1777662306.835000038,1777662307.846821785,1777662309.879418135,1777662310.932425022,1777662311.948227167,1777662314.002326012,1777662314.963546991
42,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.6561,1777662315.470560074,1777662316.184478998,1777662317.190117121,1777662318.218129873,1777662320.225628853,1777662321.255038023,1777662322.263373137,1777662324.293118000,1777662324.989263773
43,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,secondary_first_img1,PETSHOP,1.5417,1777662325.500429153,1777662326.151183844,1777662327.156657934,1777662328.177103043,1777662330.205277920,1777662331.245883942,1777662332.256757021,1777662334.291810036,1777662335.891557217
44,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,BATHROOM,1.2105,1777662336.399941206,1777662337.081426859,1777662338.085978985,1777662339.094517946,1777662341.105463028,1777662342.124258041,1777662343.146934986,1777662345.171422005,1777662346.395383120
45,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,secondary_first_img1,KITCHEN,0.6717,1777662346.900449038,1777662347.624830008,1777662348.629417896,1777662349.640313148,1777662351.648400784,1777662352.673223019,1777662353.681627989,1777662355.718649149,1777662356.403437138
46,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,0.3727,1777662356.910434961,1777662357.569220066,1777662358.573570967,1777662359.597001076,1777662361.600971937,1777662362.642021894,1777662363.652024984,1777662365.698432922,1777662366.095384121
47,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,2.0358,1777662366.606055021,1777662367.244767904,1777662368.252215147,1777662369.260721922,1777662371.277530909,1777662372.314341068,1777662373.321637154,1777662375.388856173,1777662377.451557875
